layer_idx,layer_name,submodule,cosine_similarity,mse
5,Transformer Layer 5,mlp.gate_proj,0.9929758906364441,2.071366543532349e-05
5,Transformer Layer 5,mlp.up_proj,0.9953579902648926,1.4036890206625685e-05
5,Transformer Layer 5,mlp.down_proj,0.9997902512550354,2.829238354706831e-08
6,Transformer Layer 6,self_attn.q_proj,0.9403349161148071,0.0007140927482396364
6,Transformer Layer 6,self_attn.k_proj,0.9335985779762268,0.0007856669835746288
6,Transformer Layer 6,self_attn.v_proj,0.9802295565605164,0.00013546481204684824
6,Transformer Layer 6,self_attn.o_proj,0.9998763799667358,1.6545715908478087e-08
6,Transformer Layer 6,mlp.gate_proj,0.9917082786560059,4.021814311272465e-05
6,Transformer Layer 6,mlp.up_proj,0.9946942925453186,2.699298784136772e-05
6,Transformer Layer 6,mlp.down_proj,0.9997956156730652,2.8362537207726746e-08
7,Transformer Layer 7,self_attn.q_proj,0.9423685073852539,0.0007947590784169734
7,Transformer Layer 7,self_attn.k_proj,0.9331294894218445,0.0008678124868310988
7,Transformer Layer 7,self_attn.v_proj,0.9755581021308899,0.00017015069897752255
7,Transformer Layer 7,self_attn.o_proj,0.9998675584793091,1.6792414569977154e-08
7,Transformer Layer 7,mlp.gate_proj,0.9890756607055664,6.185117672430351e-05
7,Transformer Layer 7,mlp.up_proj,0.9934325218200684,4.139675002079457e-05
7,Transformer Layer 7,mlp.down_proj,0.9997851252555847,2.8850910993583057e-08
8,Transformer Layer 8,self_attn.q_proj,0.9371904134750366,0.0007608497398905456
8,Transformer Layer 8,self_attn.k_proj,0.9203816652297974,0.000892214709892869
8,Transformer Layer 8,self_attn.v_proj,0.9670913815498352,0.00017505713913124055
8,Transformer Layer 8,self_attn.o_proj,0.9998613595962524,1.709604369182216e-08
8,Transformer Layer 8,mlp.gate_proj,0.9872010946273804,7.231169001897797e-05
8,Transformer Layer 8,mlp.up_proj,0.9923307299613953,5.092580249765888e-05
8,Transformer Layer 8,mlp.down_proj,0.9998006224632263,2.9195396322734268e-08
9,Transformer Layer 9,self_attn.q_proj,0.9446964859962463,0.0008116468088701367
9,Transformer Layer 9,self_attn.k_proj,0.9241523146629333,0.0010223699500784278
9,Transformer Layer 9,self_attn.v_proj,0.9500966668128967,0.0002419844240648672
9,Transformer Layer 9,self_attn.o_proj,0.9998685121536255,1.75816641245774e-08
9,Transformer Layer 9,mlp.gate_proj,0.9856747984886169,8.058473031269386e-05
9,Transformer Layer 9,mlp.up_proj,0.9912322759628296,5.860773308086209e-05
9,Transformer Layer 9,mlp.down_proj,0.9997852444648743,2.9740053975046976e-08
10,Transformer Layer 10,self_attn.q_proj,0.9448115229606628,0.0008299180772155523
10,Transformer Layer 10,self_attn.k_proj,0.9195693135261536,0.0010950391879305243
10,Transformer Layer 10,self_attn.v_proj,0.8983840942382812,0.0003515283460728824
10,Transformer Layer 10,self_attn.o_proj,0.9998713731765747,1.6968723315358147e-08
10,Transformer Layer 10,mlp.gate_proj,0.9848371744155884,8.278053428512067e-05
10,Transformer Layer 10,mlp.up_proj,0.9908890724182129,6.13693700870499e-05
